jobid,exename,numnodes,numcpus,numtasks,executiontime,start,end,power,memory,appname,taskspercpu,taskspernode,user
36,vasp_gam,9,576,576,7294,2020-11-30T12:45:27,2020-11-30T14:47:01,195.588,69554200,vasp,1,64,user_3
37,vasp_gam,9,576,576,1571,2020-11-30T12:45:27,2020-11-30T13:11:38,197.463,47288000,vasp,1,64,user_3
38,vasp_gam,9,576,576,1993,2020-11-30T18:12:29,2020-11-30T18:45:42,197.607,47955500,vasp,1,64,user_3
39,vasp_gam,9,576,576,2979,2020-11-30T18:22:15,2020-11-30T19:11:54,197.28,58575400,vasp,1,64,user_3
40,vasp_gam,9,576,576,2060,2020-12-01T05:48:23,2020-12-01T06:22:43,202.782,46666900,vasp,1,64,user_3
41,vasp_gam,9,576,576,2078,2020-12-01T06:19:48,2020-12-01T06:54:26,202.484,48111900,vasp,1,64,user_3
42,vasp_gam,9,576,576,1811,2020-12-01T10:18:32,2020-12-01T10:48:43,199.32,50235000,vasp,1,64,user_3
43,vasp_gam,9,576,576,1962,2020-12-01T10:37:04,2020-12-01T11:09:46,198.702,46728900,vasp,1,64,user_3
44,vasp_gam,9,576,576,1976,2020-12-01T14:47:36,2020-12-01T15:20:32,197.413,50725600,vasp,1,64,user_3
45,vasp_gam,9,576,576,2090,2020-12-01T14:52:05,2020-12-01T15:26:55,191.522,47532500,vasp,1,64,user_3
46,vasp_gam,9,576,576,2730,2020-12-01T19:47:53,2020-12-01T20:33:23,197.194,46832000,vasp,1,64,user_3
47,vasp_gam,9,576,576,3019,2020-12-01T19:47:53,2020-12-01T20:38:12,195.798,47842600,vasp,1,64,user_3
48,vasp_gam,9,576,576,2502,2020-12-02T02:41:52,2020-12-02T03:23:34,198.247,49745800,vasp,1,64,user_3
49,vasp_gam,9,576,576,2350,2020-12-02T02:41:52,2020-12-02T03:21:02,200.175,45367600,vasp,1,64,user_3
50,vasp_gam,9,576,576,2196,2020-12-02T07:15:16,2020-12-02T07:51:52,190.661,46652200,vasp,1,64,user_3
51,vasp_gam,9,576,576,1981,2020-12-02T07:15:16,2020-12-02T07:48:17,197.439,47857800,vasp,1,64,user_3
52,vasp_gam,9,576,576,2654,2020-12-02T10:03:48,2020-12-02T10:48:02,197.101,48460900,vasp,1,64,user_3
53,vasp_gam,9,576,576,2730,2020-12-02T10:03:48,2020-12-02T10:49:18,194.4,48009600,vasp,1,64,user_3
54,vasp_gam,9,576,576,2193,2020-12-02T14:07:35,2020-12-02T14:44:08,195.753,49105000,vasp,1,64,user_3
55,vasp_gam,9,576,576,2535,2020-12-02T14:07:35,2020-12-02T14:49:50,199.981,45518200,vasp,1,64,user_3
56,vasp_gam,9,576,576,1811,2020-12-02T20:34:21,2020-12-02T21:04:32,194.848,47702800,vasp,1,64,user_3
57,vasp_gam,9,576,576,4236,2020-12-02T20:34:21,2020-12-02T21:44:57,201.174,64576300,vasp,1,64,user_3
58,vasp_gam,9,576,576,2494,2020-12-03T02:44:20,2020-12-03T03:25:54,199.692,50076300,vasp,1,64,user_3
59,vasp_gam,9,576,576,2369,2020-12-03T02:46:46,2020-12-03T03:26:15,197.402,49092400,vasp,1,64,user_3
60,vasp_gam,9,576,576,2661,2020-12-03T06:25:39,2020-12-03T07:10:00,195.417,51195000,vasp,1,64,user_3
61,vasp_gam,9,576,576,2512,2020-12-03T06:33:20,2020-12-03T07:15:12,196.563,48987800,vasp,1,64,user_3
62,vasp_gam,9,576,576,2348,2020-12-03T09:22:48,2020-12-03T10:01:56,199.015,49691700,vasp,1,64,user_3
63,vasp_gam,9,576,576,2215,2020-12-03T11:30:36,2020-12-03T12:07:31,200.09,47590200,vasp,1,64,user_3
64,vasp_gam,9,576,576,2171,2020-12-03T11:57:22,2020-12-03T12:33:33,199.828,50874100,vasp,1,64,user_3
65,vasp_gam,9,576,576,2185,2020-12-03T19:06:22,2020-12-03T19:42:47,194.835,46122400,vasp,1,64,user_3
66,vasp_gam,9,576,576,2295,2020-12-03T19:06:22,2020-12-03T19:44:37,198.326,49723900,vasp,1,64,user_3
67,vasp_gam,9,576,576,2058,2020-12-03T20:17:57,2020-12-03T20:52:15,200.221,48707300,vasp,1,64,user_3
68,vasp_gam,9,576,576,2271,2020-12-03T20:17:57,2020-12-03T20:55:48,197.697,48976500,vasp,1,64,user_3
69,vasp_gam,9,576,576,2260,2020-12-03T20:42:12,2020-12-03T21:19:52,195.758,46351500,vasp,1,64,user_3
70,vasp_gam,9,576,576,1901,2020-12-03T20:44:39,2020-12-03T21:16:20,193.643,45024500,vasp,1,64,user_3
71,vasp_gam,9,576,576,1916,2020-12-03T20:53:24,2020-12-03T21:25:20,198.176,50752500,vasp,1,64,user_3
72,vasp_gam,9,576,576,2017,2020-12-03T20:56:18,2020-12-03T21:29:55,198.481,47815500,vasp,1,64,user_3
73,vasp_gam,9,576,576,1962,2020-12-03T21:33:44,2020-12-03T22:06:26,195.723,45714700,vasp,1,64,user_3
74,vasp_gam,9,576,576,1991,2020-12-03T22:03:54,2020-12-03T22:37:05,196.783,46889700,vasp,1,64,user_3
75,vasp_gam,9,576,576,1912,2020-12-03T22:10:08,2020-12-03T22:42:00,195.841,51699500,vasp,1,64,user_3
76,vasp_gam,9,576,576,1993,2020-12-03T22:25:08,2020-12-03T22:58:21,196.713,48299500,vasp,1,64,user_3
77,vasp_gam,9,576,576,1994,2020-12-03T22:43:07,2020-12-03T23:16:21,196.164,47007400,vasp,1,64,user_3
78,vasp_gam,9,576,576,1941,2020-12-03T22:46:30,2020-12-03T23:18:51,195.366,50349200,vasp,1,64,user_3
79,vasp_gam,9,576,576,1535,2020-12-04T08:04:39,2020-12-04T08:30:14,197.523,45231500,vasp,1,64,user_3
80,vasp_gam,9,576,576,1393,2020-12-04T08:04:39,2020-12-04T08:27:52,202.337,49221400,vasp,1,64,user_3
81,vasp_gam,9,576,576,1566,2020-12-04T13:19:42,2020-12-04T13:45:48,188.73,43247600,vasp,1,64,user_3
82,vasp_gam,9,576,576,1502,2020-12-04T13:19:42,2020-12-04T13:44:44,191.955,42415600,vasp,1,64,user_3
83,vasp_gam,9,576,576,1466,2020-12-04T13:25:16,2020-12-04T13:49:42,200.478,48233500,vasp,1,64,user_3
84,vasp_gam,9,576,576,1384,2020-12-04T13:25:16,2020-12-04T13:48:20,199.839,48992000,vasp,1,64,user_3
85,vasp_gam,9,576,576,1378,2020-12-04T14:39:07,2020-12-04T15:02:05,203.035,48615500,vasp,1,64,user_3
86,vasp_gam,9,576,576,1385,2020-12-04T15:45:04,2020-12-04T16:08:09,199.88,47350200,vasp,1,64,user_3
87,vasp_gam,9,576,576,1585,2020-12-04T18:52:54,2020-12-04T19:19:19,198.085,50113000,vasp,1,64,user_3
88,vasp_gam,9,576,576,1510,2020-12-04T18:52:59,2020-12-04T19:18:09,196.484,47681200,vasp,1,64,user_3
89,vasp_gam,9,576,576,1470,2020-12-04T18:53:55,2020-12-04T19:18:25,196.035,49754300,vasp,1,64,user_3
90,vasp_std,1,256,64,843,2020-11-30T01:28:04,2020-11-30T01:42:07,288.742,52576500,vasp,0.25,64,user_4
91,vasp_std,1,256,64,6923,2020-11-30T01:28:07,2020-11-30T03:23:30,289.897,54055500,vasp,0.25,64,user_4
92,vasp_std,1,256,64,3118,2020-11-30T06:39:28,2020-11-30T07:31:26,293.935,55537700,vasp,0.25,64,user_4
93,vasp_std,1,256,64,3259,2020-11-30T06:42:50,2020-11-30T07:37:09,286.59,55658700,vasp,0.25,64,user_4
94,vasp_std,1,256,64,751,2020-11-30T06:49:33,2020-11-30T07:02:04,288.122,54341100,vasp,0.25,64,user_4
95,vasp_std,1,256,64,778,2020-11-30T06:57:45,2020-11-30T07:10:43,278.738,32407500,vasp,0.25,64,user_4
96,vasp_std,1,256,64,817,2020-11-30T07:03:00,2020-11-30T07:16:37,289.736,54547600,vasp,0.25,64,user_4
97,vasp_std,1,256,64,1243,2020-11-30T07:04:45,2020-11-30T07:25:28,283.417,54813900,vasp,0.25,64,user_4
98,vasp_std,1,256,64,1061,2020-11-30T07:15:21,2020-11-30T07:33:02,280,55957600,vasp,0.25,64,user_4
99,vasp_std,1,256,64,789,2020-11-30T07:16:55,2020-11-30T07:30:04,280.92,54169400,vasp,0.25,64,user_4
100,vasp_std,1,256,64,708,2020-11-30T07:18:30,2020-11-30T07:30:18,285.74,53565000,vasp,0.25,64,user_4
101,vasp_std,1,256,64,903,2020-11-30T07:18:30,2020-11-30T07:33:33,276.093,53725800,vasp,0.25,64,user_4
102,vasp_std,1,256,64,4917,2020-11-30T07:18:30,2020-11-30T08:40:27,289.441,54578600,vasp,0.25,64,user_4
103,vasp_std,1,256,64,803,2020-11-30T07:18:30,2020-11-30T07:31:53,283.517,34017700,vasp,0.25,64,user_4
104,vasp_std,1,256,64,1262,2020-11-30T07:18:30,2020-11-30T07:39:32,290.364,53441500,vasp,0.25,64,user_4
105,vasp_std,1,256,64,818,2020-11-30T07:20:03,2020-11-30T07:33:41,290.476,53259900,vasp,0.25,64,user_4
106,vasp_std,1,256,64,929,2020-11-30T07:20:09,2020-11-30T07:35:38,280.35,32694300,vasp,0.25,64,user_4
107,vasp_std,1,256,64,1868,2020-11-30T07:25:09,2020-11-30T07:56:17,282.081,33619300,vasp,0.25,64,user_4
108,vasp_std,1,256,64,1393,2020-11-30T07:28:52,2020-11-30T07:52:05,283.005,33608500,vasp,0.25,64,user_4
109,vasp_std,1,256,64,836,2020-11-30T07:32:32,2020-11-30T07:46:28,281.367,35780900,vasp,0.25,64,user_4
110,vasp_std,1,256,64,8985,2020-11-30T07:39:46,2020-11-30T10:09:31,282.255,46935300,vasp,0.25,64,user_4
111,vasp_std,1,256,64,2593,2020-11-30T12:45:27,2020-11-30T13:28:40,279.449,45311100,vasp,0.25,64,user_4
112,vasp_std,1,256,64,3771,2020-11-30T13:17:29,2020-11-30T14:20:20,288.394,46900400,vasp,0.25,64,user_4
113,vasp_std,1,256,64,1451,2020-11-30T13:17:30,2020-11-30T13:41:41,278.582,33372700,vasp,0.25,64,user_4
114,vasp_std,1,256,64,7266,2020-11-30T13:17:30,2020-11-30T15:18:36,283.759,35633900,vasp,0.25,64,user_4
115,vasp_std,1,256,64,885,2020-11-30T13:17:30,2020-11-30T13:32:15,283.626,34782200,vasp,0.25,64,user_4
116,vasp_std,1,256,64,804,2020-11-30T13:17:30,2020-11-30T13:30:54,284.735,34909100,vasp,0.25,64,user_4
117,vasp_std,1,256,64,2080,2020-11-30T13:17:29,2020-11-30T13:52:09,275.963,33248600,vasp,0.25,64,user_4
118,vasp_std,1,256,64,9206,2020-11-30T13:19:57,2020-11-30T15:53:23,288.848,46915900,vasp,0.25,64,user_4
119,vasp_std,1,256,64,6860,2020-11-30T13:20:04,2020-11-30T15:14:24,282.588,35520900,vasp,0.25,64,user_4
120,vasp_std,1,256,64,639,2020-11-30T13:20:04,2020-11-30T13:30:43,277.673,34729300,vasp,0.25,64,user_4
121,vasp_std,1,256,64,4679,2020-11-30T13:22:29,2020-11-30T14:40:28,286.183,35582500,vasp,0.25,64,user_4
122,vasp_std,1,256,64,778,2020-11-30T13:24:56,2020-11-30T13:37:54,284.775,34681000,vasp,0.25,64,user_4
123,vasp_std,1,256,64,6085,2020-11-30T13:24:56,2020-11-30T15:06:21,283.213,35737400,vasp,0.25,64,user_4
124,vasp_std,1,256,64,2578,2020-11-30T13:35:15,2020-11-30T14:18:13,281.041,34421600,vasp,0.25,64,user_4
125,vasp_std,1,256,64,2275,2020-11-30T18:31:46,2020-11-30T19:09:41,277.094,34456000,vasp,0.25,64,user_4
126,vasp_std,1,256,64,961,2020-11-30T18:35:57,2020-11-30T18:51:58,278.861,34731400,vasp,0.25,64,user_4
127,vasp_std,1,256,64,767,2020-11-30T23:33:24,2020-11-30T23:46:11,283.679,40148900,vasp,0.25,64,user_4
128,vasp_std,1,256,64,5116,2020-12-01T07:27:22,2020-12-01T08:52:38,290.865,41671000,vasp,0.25,64,user_4
129,vasp_std,1,256,64,1422,2020-12-01T07:27:36,2020-12-01T07:51:18,286.602,37096500,vasp,0.25,64,user_4
130,vasp_std,1,256,64,1216,2020-12-01T09:48:45,2020-12-01T10:09:01,279.275,37053400,vasp,0.25,64,user_4
131,vasp_std,1,256,64,1256,2020-12-01T14:23:13,2020-12-01T14:44:09,288.529,36819800,vasp,0.25,64,user_4
132,vasp_std,1,256,64,1495,2020-12-01T14:23:13,2020-12-01T14:48:08,290.576,36230800,vasp,0.25,64,user_4
133,vasp_std,1,256,64,5403,2020-12-01T19:47:53,2020-12-01T21:17:56,278.494,36482200,vasp,0.25,64,user_4
134,vasp_std,1,256,64,707,2020-12-01T19:47:53,2020-12-01T19:59:40,275.856,35889900,vasp,0.25,64,user_4
135,vasp_std,1,256,64,1462,2020-12-02T02:25:43,2020-12-02T02:50:05,276.636,36451100,vasp,0.25,64,user_4
136,vasp_std,1,256,64,1783,2020-12-02T02:41:49,2020-12-02T03:11:32,279.784,36594600,vasp,0.25,64,user_4
137,vasp_std,1,256,64,3487,2020-12-02T09:42:42,2020-12-02T10:40:49,287.747,37911700,vasp,0.25,64,user_4
138,vasp_std,1,256,64,3872,2020-12-02T11:18:02,2020-12-02T12:22:34,280.163,38087000,vasp,0.25,64,user_4
139,vasp_std,1,256,64,6041,2020-12-02T14:16:22,2020-12-02T15:57:03,286.291,37119400,vasp,0.25,64,user_4
140,vasp_std,1,256,64,10633,2020-12-02T16:06:33,2020-12-02T19:03:46,293.824,37356500,vasp,0.25,64,user_4
141,vasp_std,1,256,64,4506,2020-12-02T16:06:34,2020-12-02T17:21:40,292.317,37624600,vasp,0.25,64,user_4
142,vasp_std,1,256,64,2591,2020-12-02T21:19:02,2020-12-02T22:02:13,285.276,42934200,vasp,0.25,64,user_4
143,vasp_std,1,256,64,783,2020-12-02T21:19:02,2020-12-02T21:32:05,284.794,42485100,vasp,0.25,64,user_4
144,vasp_std,1,256,64,6282,2020-12-03T03:28:38,2020-12-03T05:13:20,297.403,39535100,vasp,0.25,64,user_4
145,vasp_std,1,256,64,1231,2020-12-03T03:28:35,2020-12-03T03:49:06,282.526,39254200,vasp,0.25,64,user_4
146,vasp_std,1,256,64,5582,2020-12-03T03:31:01,2020-12-03T05:04:03,288.053,39558800,vasp,0.25,64,user_4
147,vasp_std,1,256,64,858,2020-12-03T03:31:01,2020-12-03T03:45:19,286.627,38610300,vasp,0.25,64,user_4
148,vasp_std,1,256,64,1379,2020-12-03T03:31:04,2020-12-03T03:54:03,291.587,55084500,vasp,0.25,64,user_4
149,vasp_std,1,256,64,802,2020-12-03T03:31:04,2020-12-03T03:44:26,281.474,54598300,vasp,0.25,64,user_4
150,vasp_std,1,256,64,967,2020-12-03T03:31:04,2020-12-03T03:47:11,279.674,38681400,vasp,0.25,64,user_4
151,vasp_std,1,256,64,716,2020-12-03T03:31:04,2020-12-03T03:43:00,285.76,38961600,vasp,0.25,64,user_4
152,vasp_std,1,256,64,1912,2020-12-03T03:31:04,2020-12-03T04:02:56,285.74,39583800,vasp,0.25,64,user_4
153,vasp_std,1,256,64,3838,2020-12-03T03:31:04,2020-12-03T04:35:02,288.864,39414900,vasp,0.25,64,user_4
154,vasp_std,1,256,64,1818,2020-12-03T03:31:04,2020-12-03T04:01:22,276.156,54919600,vasp,0.25,64,user_4
155,vasp_std,1,256,64,3269,2020-12-03T03:31:04,2020-12-03T04:25:33,291.184,53391400,vasp,0.25,64,user_4
156,vasp_std,1,256,64,2759,2020-12-03T03:31:04,2020-12-03T04:17:03,284.632,38958200,vasp,0.25,64,user_4
157,vasp_std,1,256,64,4311,2020-12-03T03:31:04,2020-12-03T04:42:55,286.017,38820500,vasp,0.25,64,user_4
158,vasp_std,1,256,64,3274,2020-12-03T03:31:04,2020-12-03T04:25:38,279.263,39194700,vasp,0.25,64,user_4
159,vasp_std,1,256,64,1366,2020-12-03T03:31:04,2020-12-03T03:53:50,280.609,38467700,vasp,0.25,64,user_4
160,vasp_std,1,256,64,773,2020-12-03T03:31:04,2020-12-03T03:43:57,284.173,39044300,vasp,0.25,64,user_4
161,vasp_std,1,256,64,734,2020-12-03T03:31:04,2020-12-03T03:43:18,277.419,40667800,vasp,0.25,64,user_4
162,vasp_std,1,256,64,1118,2020-12-03T03:31:04,2020-12-03T03:49:42,277.965,39372500,vasp,0.25,64,user_4
163,vasp_std,1,256,64,2953,2020-12-03T03:31:04,2020-12-03T04:20:17,284.411,39734800,vasp,0.25,64,user_4
164,vasp_std,1,256,64,1651,2020-12-03T03:31:04,2020-12-03T03:58:35,275.603,39555000,vasp,0.25,64,user_4
165,vasp_std,1,256,64,2034,2020-12-03T03:31:04,2020-12-03T04:04:58,285.161,39683600,vasp,0.25,64,user_4
166,vasp_std,1,256,64,2661,2020-12-03T03:31:04,2020-12-03T04:15:25,289.663,46106900,vasp,0.25,64,user_4
167,vasp_std,1,256,64,739,2020-12-03T03:31:04,2020-12-03T03:43:23,290.201,45222600,vasp,0.25,64,user_4
168,vasp_std,1,256,64,3526,2020-12-03T03:31:04,2020-12-03T04:29:50,282.858,33628400,vasp,0.25,64,user_4
169,vasp_std,1,256,64,5122,2020-12-03T03:31:04,2020-12-03T04:56:26,287.684,35493100,vasp,0.25,64,user_4
170,vasp_std,1,256,64,3516,2020-12-03T03:31:04,2020-12-03T04:29:40,285.573,46038300,vasp,0.25,64,user_4
171,vasp_std,1,256,64,4459,2020-12-03T03:31:04,2020-12-03T04:45:23,290.635,45604600,vasp,0.25,64,user_4
172,vasp_std,1,256,64,2112,2020-12-03T03:31:04,2020-12-03T04:06:16,289.56,46828100,vasp,0.25,64,user_4
173,vasp_std,1,256,64,732,2020-12-03T03:31:04,2020-12-03T03:43:16,281.154,32211300,vasp,0.25,64,user_4
174,vasp_std,1,256,64,616,2020-12-03T03:31:05,2020-12-03T03:41:21,272.272,32141000,vasp,0.25,64,user_4
175,vasp_std,1,256,64,3430,2020-12-03T03:31:05,2020-12-03T04:28:15,285.231,32656000,vasp,0.25,64,user_4
176,vasp_std,1,256,64,1350,2020-12-03T03:31:05,2020-12-03T03:53:35,282.924,32575900,vasp,0.25,64,user_4
177,vasp_std,1,256,64,2202,2020-12-03T03:31:05,2020-12-03T04:07:47,285.537,33803700,vasp,0.25,64,user_4
178,vasp_std,1,256,64,2862,2020-12-03T03:31:05,2020-12-03T04:18:47,290.191,35637900,vasp,0.25,64,user_4
179,vasp_std,1,256,64,675,2020-12-03T03:31:05,2020-12-03T03:42:20,281.479,32916200,vasp,0.25,64,user_4
180,vasp_std,1,256,64,759,2020-12-03T03:31:05,2020-12-03T03:43:44,281.362,34027500,vasp,0.25,64,user_4
181,vasp_std,1,256,64,4146,2020-12-03T03:31:05,2020-12-03T04:40:11,280.447,33922100,vasp,0.25,64,user_4
182,vasp_std,1,256,64,2819,2020-12-03T03:31:05,2020-12-03T04:18:04,286.117,34871900,vasp,0.25,64,user_4
183,vasp_std,1,256,64,1404,2020-12-03T03:31:05,2020-12-03T03:54:29,280.498,40813000,vasp,0.25,64,user_4
184,vasp_std,1,256,64,680,2020-12-03T03:31:05,2020-12-03T03:42:25,279.655,38405200,vasp,0.25,64,user_4
185,vasp_std,1,256,64,8280,2020-12-03T03:31:05,2020-12-03T05:49:05,279.178,43031800,vasp,0.25,64,user_4
186,vasp_std,1,256,64,654,2020-12-03T03:31:05,2020-12-03T03:41:59,269.76,38533800,vasp,0.25,64,user_4
187,vasp_std,1,256,64,3832,2020-12-03T03:31:05,2020-12-03T04:34:57,291.906,57803100,vasp,0.25,64,user_4
188,vasp_std,1,256,64,2961,2020-12-03T03:31:05,2020-12-03T04:20:26,289.788,57680500,vasp,0.25,64,user_4
189,vasp_std,1,256,64,3861,2020-12-03T03:31:05,2020-12-03T04:35:26,288.317,58602300,vasp,0.25,64,user_4
190,vasp_std,1,256,64,8613,2020-12-03T03:31:06,2020-12-03T05:54:39,292.099,51081300,vasp,0.25,64,user_4
191,vasp_std,1,256,64,2898,2020-12-03T03:31:06,2020-12-03T04:19:24,282.88,37184400,vasp,0.25,64,user_4
192,vasp_std,1,256,64,1327,2020-12-03T03:31:05,2020-12-03T03:53:12,281.972,57498700,vasp,0.25,64,user_4
193,vasp_std,1,256,64,1603,2020-12-03T03:31:05,2020-12-03T03:57:48,276.163,57811000,vasp,0.25,64,user_4
194,vasp_std,1,256,64,1329,2020-12-03T03:31:05,2020-12-03T03:53:14,277.248,57811100,vasp,0.25,64,user_4
195,vasp_std,1,256,64,7455,2020-12-03T03:31:06,2020-12-03T05:35:21,284.931,37667800,vasp,0.25,64,user_4
196,vasp_std,1,256,64,1639,2020-12-03T03:31:06,2020-12-03T03:58:25,278.259,36589600,vasp,0.25,64,user_4
197,vasp_std,1,256,64,1377,2020-12-03T03:31:06,2020-12-03T03:54:03,275.227,38384900,vasp,0.25,64,user_4
198,vasp_std,1,256,64,7074,2020-12-03T03:31:06,2020-12-03T05:29:00,286.182,51155200,vasp,0.25,64,user_4
199,vasp_std,1,256,64,10788,2020-12-03T03:31:06,2020-12-03T06:30:54,281.259,50966800,vasp,0.25,64,user_4
200,vasp_std,1,256,64,2315,2020-12-03T03:31:06,2020-12-03T04:09:41,279.147,35417200,vasp,0.25,64,user_4
201,vasp_std,1,256,64,2844,2020-12-03T03:31:06,2020-12-03T04:18:30,285.748,35528100,vasp,0.25,64,user_4
202,vasp_std,1,256,64,3868,2020-12-03T03:31:06,2020-12-03T04:35:34,273.356,35549600,vasp,0.25,64,user_4
203,vasp_std,1,256,64,1977,2020-12-03T03:31:06,2020-12-03T04:04:03,275.485,36210600,vasp,0.25,64,user_4
204,vasp_std,1,256,64,4167,2020-12-03T03:31:06,2020-12-03T04:40:33,282.29,37197800,vasp,0.25,64,user_4
205,vasp_std,1,256,64,800,2020-12-03T03:31:06,2020-12-03T03:44:26,277.35,35250500,vasp,0.25,64,user_4
206,vasp_std,1,256,64,969,2020-12-03T03:31:06,2020-12-03T03:47:15,272.111,36157600,vasp,0.25,64,user_4
207,vasp_std,1,256,64,981,2020-12-03T03:31:06,2020-12-03T03:47:27,286.39,36422500,vasp,0.25,64,user_4
208,vasp_std,1,256,64,4663,2020-12-03T03:31:06,2020-12-03T04:48:49,293.664,37711800,vasp,0.25,64,user_4
209,vasp_std,1,256,64,3089,2020-12-03T03:33:21,2020-12-03T04:24:50,281.226,38065900,vasp,0.25,64,user_4
210,vasp_std,1,256,64,3984,2020-12-03T03:33:21,2020-12-03T04:39:45,282.922,38751200,vasp,0.25,64,user_4
211,vasp_std,1,256,64,7128,2020-12-03T03:33:21,2020-12-03T05:32:09,279.236,37521700,vasp,0.25,64,user_4
212,vasp_std,1,256,64,2169,2020-12-03T03:33:21,2020-12-03T04:09:30,281.681,38389200,vasp,0.25,64,user_4
213,vasp_std,1,256,64,3717,2020-12-03T03:33:21,2020-12-03T04:35:18,286.758,37317700,vasp,0.25,64,user_4
214,vasp_std,1,256,64,4962,2020-12-03T03:33:21,2020-12-03T04:56:03,290.885,37556900,vasp,0.25,64,user_4
